"Time (s)","wx (rad/s)","wy (rad/s)","wz (rad/s)","wt (rad/s)"
2.715229958E0,2.587716654E-2,-2.103848159E-1,-3.840963170E-2,2.154221398E-1
2.725303958E0,-2.036437988E-1,-5.166147351E-1,-9.695891291E-2,5.637043659E-1
2.735377958E0,-2.917145491E-1,-5.336232781E-1,-1.453331113E-1,6.252782535E-1
2.745451958E0,-2.658997476E-1,-4.117806852E-1,-1.037828326E-1,5.010358119E-1
2.755525958E0,-1.554693729E-1,-1.455995888E-1,-3.622563183E-2,2.160607844E-1
2.765598958E0,-2.308307402E-2,1.827550381E-1,4.181494564E-2,1.888934143E-1
2.775673958E0,1.318788230E-1,4.668634534E-1,8.995930851E-2,4.934026604E-1
2.785747958E0,2.687248588E-1,6.336088181E-1,1.168127134E-1,6.980819394E-1
2.795821958E0,3.775986135E-1,7.221599817E-1,1.043089032E-1,8.215692907E-1
2.805895958E0,4.943190217E-1,6.475035548E-1,9.904357791E-2,8.206227995E-1
2.815969958E0,5.072363615E-1,5.569038987E-1,1.546213776E-2,7.534386216E-1
2.826043958E0,4.597122371E-1,4.561991394E-1,-9.513258189E-2,6.546015611E-1
2.836117958E0,3.862750530E-1,3.239007592E-1,-1.792564988E-1,5.350261777E-1
2.846191958E0,2.882804275E-1,2.399672568E-1,-2.296413928E-1,4.398011579E-1
2.856265958E0,1.839891672E-1,2.443758547E-1,-2.398724556E-1,3.887291692E-1
2.866339958E0,9.541831911E-2,3.066327572E-1,-2.062701881E-1,3.816748536E-1
2.876413958E0,6.623779982E-2,3.958105743E-1,-1.568232775E-1,4.308677259E-1
2.886487958E0,1.178505868E-1,5.169216990E-1,-1.001593545E-1,5.395634347E-1
2.896561958E0,2.060142756E-1,6.473830342E-1,-5.321075767E-2,6.814529033E-1
2.906635958E0,2.848097980E-1,7.371736169E-1,-3.151454404E-2,7.909075350E-1
2.916709958E0,3.576334119E-1,7.350217700E-1,-3.007217497E-2,8.179627103E-1
2.926783958E0,3.912388980E-1,6.661624312E-1,-4.248101264E-2,7.737214593E-1
2.936857958E0,3.867059350E-1,5.143808722E-1,-5.407348648E-2,6.457964879E-1
2.946931958E0,3.813125491E-1,3.088527322E-1,-7.718282938E-2,4.967358045E-1
2.957004958E0,3.110415936E-1,1.476968676E-1,-1.224467084E-1,3.654510008E-1
2.967079958E0,1.782997102E-1,3.242877498E-2,-1.611535251E-1,2.425136506E-1
2.977153958E0,6.245965511E-2,-6.681445241E-2,-1.637314558E-1,1.875456456E-1
2.987227958E0,-3.163339570E-2,-8.663557470E-2,-1.484683305E-1,1.747834079E-1
2.997301958E0,-8.846738189E-2,-5.711576715E-2,-1.239781603E-1,1.626630651E-1
3.007375958E0,-9.098530561E-2,-1.040529739E-2,-1.009843796E-1,1.363247629E-1
3.017449958E0,-4.423378035E-2,5.002182722E-2,-8.910694718E-2,1.113501619E-1
3.027523958E0,4.162574559E-2,6.022738293E-2,-8.533357829E-2,1.124360260E-1
3.037597875E0,1.031804532E-1,-3.014565445E-2,-7.979261130E-2,1.338724289E-1
3.047671875E0,9.048239142E-2,-1.476065218E-1,-3.161175177E-2,1.759944638E-1
3.057745875E0,5.930316821E-2,-2.459724993E-1,1.592700742E-2,2.535212135E-1
3.067819875E0,2.907950990E-2,-2.964688540E-1,5.176874250E-2,3.023564154E-1
3.077893875E0,-4.041958600E-3,-2.746647596E-1,8.386170119E-2,2.872104673E-1
3.087967875E0,-1.272008754E-2,-1.914271414E-1,7.968030125E-2,2.077380598E-1
3.098041875E0,2.657645196E-2,-9.544362128E-2,4.925128818E-2,1.106412311E-1
3.108115875E0,1.028041318E-1,1.189559815E-3,5.120962393E-3,1.029384711E-1
3.118189875E0,1.531756967E-1,7.361821830E-2,-2.599354833E-2,1.719246948E-1
3.128263875E0,1.915334314E-1,6.811350584E-2,-3.378779069E-2,2.060730934E-1
3.138337875E0,6.161169149E-3,1.440159827E-1,-3.261014074E-2,1.477903399E-1
3.148411875E0,-5.240263939E-1,5.837370455E-2,7.335280627E-2,5.323455504E-1
